topic,prompt,sample_id,generated_poem
alone,Write a poem about alone:,0,
alone,Write a poem about alone:,1,"When you were alone, your home is empty
It's a small place in the middle of nowhere,
So you go out with a smile
And make the best of it
You don't want to get in the way,
So try not to get up in the middle of the night,
And to have some good sleep,
You have to sleep well all night,
You get into some great moods
It's not the time when you're feeling the way you"
alone,Write a poem about alone:,2,"the pain, the loneliness, the feeling, the loneliness - or just read and write about yourself and how much you love yourself and that's fine. The loneliness is something you're not able to describe with words. Just don't say it out loud.
-Karen, 8-01-14


My story is as good as any. But when I write about myself I don't do that. I write it down as I walk along the pavement and it becomes easier to believe."
america,Write a poem about america:,0,"You know it's true and you think it matters
You know it's true and you think it matters
If it's true it's for America that's why
America is a wonderful nation
America is great and America is the best of all
America is a wonderful country,
America's America is great and our world's greatest
America is great and our world's greatest
America is great and its great for everybody
America is great and its great for everyone,
America is"
america,Write a poem about america:,1,"america - the place where you feel so lucky. - or you just can't.
For over 2 years people have been asking me, ""why does this place have so many people?"" I have always said that it was because of the beauty of america. If people are looking for it that's what america is all about.
When you visit america there is so much beauty in it!
For me, when I was a kid in the 1920's and '30's"
america,Write a poem about america:,2,"You know you can sing the blues in a country without any trouble,
You have nothing to fear about being a racist...
It's only a matter of time before something changes...
America is not a country you love
You have everything you need, your country is your country.
You won't get along with any of the people,
They've tried to get by on nothing and won't try any harder
America is a country you love.
It's just a matter"
angel,Write a poem about angel:,0,"""How much do you think it's going to cost me?""
The angels I loved, you know,
I love them when I love you. They make me feel good.
I love angels to be with you,
Even if they're not going to kill me.
And when they do,
It won't be to you anymore.
But I'll see you again next time,
For I know you are coming back,
For you know I've come back with"
angel,Write a poem about angel:,1,"With a bow and arrow at the head,
Let him hold me with his arm,
Let me say it aloud,
Let him make me his friend.


We could sing in the same voice
In the same breath,
And we could sing it in tongues,
And we could sing it in hearts
And we could sing it in hearts
And we could sing it in hearts
And we could sing it in hearts
And we could sing it in hearts"
angel,Write a poem about angel:,2,"The way the poet's poems may be described is very simple. If there are three or four poems to be told, they may be the most obvious of them. There are three kinds of angelic beings. Angels in a certain way are like a kind of angel that moves with the wind. Angels do things that are out of place or out of order, but they also do things that are out of place or out of order. Angels are like angels in the sense that they do things that"
anger,Write a poem about anger:,0,"Laugh,
For it's been given me,
And its given me for joy,
When my tears have become wet:
My heart is broken,
My heart is broken
And my heart is broken
I love my father,
Laughing and crying
It's been given me for joy
And its given me for joy
When my tears have become wet:
My heart is broken,
My heart is broken
And my heart is broken
So I"
anger,Write a poem about anger:,1,"Your anger is the only thing to be left to hold
You can't fight without pain,
You can't let your anger overpower you
It can be very personal,
And it's your fault for not saying it,
You'll find it hard to make up your mind
Your anger is just the most obvious thing
But there is one person you can help
Who does that to your anger?
You are just one of many to blame,
Who can see this as"
anger,Write a poem about anger:,2,"A poem of anger is to anger the heart
And its true effect is that it makes your life easier
And it leads to a happier life
If it is true that you cannot feel anger or anger
As the poem says, it is a true expression of your self-love
With anger and anger is the life that is good.
And as the poem says, all your life is more happiness
And your heart is just like a piece of paper.
When you are angry"
animal,Write a poem about animal:,0,"You must love to get a handle on animals in your life:
A love for animals is an art
and a way to get one's focus
in life.
In your dreams and actions you will come to realize your love for animals
will be an art
and a way to get one's focus
in life.
~Iris
May be one of the best times of your life
as you live the story you want to tell you.
This poem will tell"
animal,Write a poem about animal:,1,"Hooray, my darling!
I've heard, said the good,
I've spoken my truth and I'm proud.
My darling!
I've seen, said the bad,
I've seen, said the good.
Hooray! my darling!
I'm a happy camper.
My darling!
I've seen my sweet pet,
I'm a happy camper.
My darling!
I've seen my sweet pet,
I"
animal,Write a poem about animal:,2,"It is all well and good to say,
It is all well and good to say:
The dog, the lion,
The dog, the tiger,
The tiger,
The lion,
The tiger,
The lion,
The tiger,
The lion,
The lion,
The tiger,
The lion,
The lion,
The lion,
The lion,
The tiger,
The tiger,
The lion,
The tiger,
The"
baby,Write a poem about baby:,0,"We're not going to sleep this day. We're not going to sleep next morning.
We're not going to sleep today, that's not how we're going to live.
We're not going to sleep tomorrow, we're not going to sleep tomorrow, that's not how we're going to live.
We're not going to sleep tomorrow. We're not going to sleep tomorrow.
We're not going to sleep tomorrow. We're not going to sleep today."
baby,Write a poem about baby:,1,"We talk about the way they are
What they were
Where they came from
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
How they got there
Who do we think we are?
What do we think we are?
What do we think we are"
baby,Write a poem about baby:,2,"The one thing that can stop me crying out of my chest is the one thing that can stop the tears.
And I can cry about any of that.
Baby is not a toy that cries about the toys
because it will not cry about a bad thing.
And I can cry about anything.
Baby is not a toy that cry about the toys
because it will not cry about a bad thing.
And I can cry about any of that.
In my mind,"
beach,Write a poem about beach:,0,"I'd like to play with the beach in the morning
In the morning I'll be happy
I'll be happy to play with the beach in the morning,
You'll be proud to play with the beach on a big beach
When the sun shines it will be pretty,
It'll be nice to play with the beach on a big beach,
Or it will be nice to play with the beach on a large beach,
You'll be proud to play with the beach on"
beach,Write a poem about beach:,1,"It's a nice day
When the sun shines out
There's something about the water
But it's just the smell of the beach
The ocean is so nice
And the rocks are so beautiful
It's a nice day
When the sun shines out
There's something about the water
But it's just the smell of the beach
The ocean is so nice
And the rocks are so beautiful
It's a nice day
It's the day we go to the beach"
beach,Write a poem about beach:,2,"Beautiful, clean, clean
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful, clean,
Beautiful"
beautiful,Write a poem about beautiful:,0,"The poem, I will sing it, and sing it to the world.
I am the hero of the story.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the hero of the poem.
I am the"
beautiful,Write a poem about beautiful:,1,"A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
An poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
A poem about beautiful:
An poem about beautiful:
A poem about beautiful:
An poem about beautiful:
An poem about"
